Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0548895671963691,6.193614012772741e-07,0.009100504219532,0.000185108394362,0.9852423667907716,49.16310927387428,0.0003601824864745,0.0005515041411854,0.000128721789224,1.5156395435333252,4.284466091637355,6999983.5,0.53
1.0,0.3230000138282776,-0.0331840366125106,2.531193672439258e-07,0.0053408411331474,0.0002900885010603,0.4706863164901733,18.41107494307673,0.0003803905565291,0.0011869082227349,0.0002244657225674,1.511133909225464,5.287703659869615,5358937.0,0.53
1.0,0.481000006198883,-0.0059606852009892,7.40805248256038e-08,0.0092157311737537,0.0003658074419945,-1.7678499221801758,25.19284770015995,0.0003966576477978,0.0016662139678373,0.000280553183984,1.809133052825928,5.939030682796849,4102609.0,0.53
1.0,0.6389999985694885,0.0281288903206586,1.371865039345721e-07,0.047917153686285,0.0007272370858117,-1.3145514726638794,65.88931535689834,0.0004493160813581,0.002199227688834,0.0004510988073889,2.285364389419556,4.875268240152979,3140812.25,0.53
1.0,0.796999990940094,-0.0091946935281157,1.4797693381751742e-07,0.0680425912141799,0.0005595596740022,-1.5724114179611206,121.6002410029083,0.0004000116896349,0.0012441371800377,0.0002585138718131,2.729079484939575,4.812651527407526,2404484.0,0.53
1.0,0.9550000429153442,-0.00563436280936,-1.0333036470910885e-07,0.1071495115756988,0.000746639270801,-1.3408440351486206,143.50907562193206,0.0004017725877929,0.0003565126971807,0.0001064827083609,2.941679000854492,3.348080666506684,1840781.125,0.53
1.0,1.1119999885559082,-0.0036398502998054,8.325888956051132e-08,0.1490969508886337,0.0007626731530763,-1.3797085285186768,195.49259114108813,0.0004105769330635,0.0005496582016348,0.00018338560767,-3.1294596195220947,2.997281022313392,1409249.875,0.53
1.0,1.2690000534057615,-0.0026632405351847,9.435414938252509e-08,0.2184517085552215,0.0007545835105702,-1.3750629425048828,289.49971142377694,0.0004027787945233,0.0009747549192979,0.0003597368777263,-2.921832799911499,2.7096330113794265,1078859.25,0.53
1.0,1.4270000457763672,-0.0020557518582791,-5.583515161333708e-08,0.2477042973041534,0.0006811490166001,-1.181401252746582,363.6565439682326,0.0004047073598485,0.0004118851502425,0.0001267234329134,-2.998488187789917,3.2502682477359706,825937.4375,0.53
1.0,1.5839999914169312,-0.0018136501312255,-7.592719697413487e-08,0.3570419549942016,0.0010321144945919,-1.1282910108566284,345.9325073574894,0.0004180396499577,0.0032320250757038,0.0015461182920262,-1.9947479963302608,2.0904125462924443,632312.4375,0.53
1.0,1.7419999837875366,-0.0018116364954039,-1.892683059168121e-07,0.4867258071899414,0.0010936968028545,-1.2145183086395264,445.0280972931363,0.0004008502000942,0.0033229887485504,0.0025824850890785,-1.891567349433899,1.2867407299285076,484078.09375,0.53
1.0,1.899999976158142,-0.001475207041949,-5.860543694780063e-08,0.6338046789169312,0.0011310405097901,-1.1504716873168943,560.3731019629946,0.0003937228757422,0.0034391628578305,0.0058561977930366,-1.725989580154419,0.5872689037108436,370593.71875,0.53
1.0,2.058000087738037,-0.0012090012896806,5.829607729879172e-08,0.7853637933731079,0.0011937463423237,-1.155818223953247,657.8983872271692,0.0003913750406354,0.0033171765971928,0.0171745233237743,-2.732926607131958,0.1931451915524773,283703.09375,0.53
1.0,2.2160000801086426,-0.0013727885670959,-6.158769139119613e-08,0.912674844264984,0.0011598482960835,-1.1798681020736694,786.8915679290449,0.0003915427369065,0.0028822743333876,0.0091369915753602,2.5319769382476807,0.3154511317664158,217203.125,0.53
1.0,2.374000072479248,-0.0011431826278567,-2.90816846160169e-08,0.9714455604553224,0.0010180040262639,-1.211654782295227,954.2649492463224,0.0003695737686939,0.0024293933529406,0.0038107486907392,2.1544015407562256,0.6375107754663778,166281.25,0.53
1.0,2.5309998989105225,-0.00129565235693,5.930523983010971e-08,0.9773040413856506,0.0008345185196958,-1.2493404150009155,1171.0992845812966,0.0003680644731502,0.0019383741309866,0.0018357243388891,2.1981899738311768,1.0559178684527477,127296.859375,0.53
1.0,2.688999891281128,-0.0015196821186691,9.87351782555379e-08,0.962599754333496,0.0006596062448807,-1.2862409353256226,1459.355125583428,0.0003638719208538,0.0015007433248683,0.001083938870579,2.2970199584960938,1.3845276385989678,97453.1171875,0.53
1.0,2.8470001220703125,-0.0013042461359873,2.075439624604769e-07,0.9462582468986512,0.0005143479793332,-1.3178011178970337,1839.723854121647,0.000336955738021,0.0011870575835928,0.000699647469446,2.366463184356689,1.6966510070173908,74609.375,0.53
1.0,3.003999948501587,-0.0012707929126918,-1.46658019062329e-08,0.9336135983467102,0.0003990010009147,-1.3406864404678345,2339.877835409863,0.000359930912964,0.0009770113974809,0.0004826256481464,2.436409473419189,2.0243669213046145,57109.375,0.53
1.0,3.1610000133514404,-0.0012480713194236,2.817678357303066e-08,0.925644040107727,0.0003105094947386,-1.3563501834869385,2981.049068682471,0.0003685675910674,0.000822712725494,0.0003462161985225,2.544919490814209,2.376297611159746,43718.74609375,0.53
1.0,3.318000078201294,-0.0013074746821075,-3.0648253379617074e-10,0.9198758006095886,0.0002373770548729,-1.34963858127594,3875.167299139485,0.0003490303060971,0.0006966609507799,0.0002516956301406,2.6319401264190674,2.7678706634308474,33468.75,0.53
1.0,3.4750001430511475,-0.0012538566952571,5.1594341243799136e-08,0.9170010089874268,0.0001847406383603,-1.3444734811782837,4963.7211234411525,0.0003512104449328,0.0006006944458931,0.0001897380570881,2.7734367847442627,3.165914393306081,25624.99609375,0.53
1.0,3.631999969482422,-0.0014790605055168,9.441927062425749e-08,0.9155483245849608,0.0001441354252165,-1.3269305229187012,6352.000718835333,0.0003600986383389,0.0005081903655081,0.0001456307800253,2.927140235900879,3.489580742612342,19625.0,0.53
1.0,3.79800009727478,-0.0013416407164186,1.7548462949434906e-07,0.9146057367324828,0.0001121200621128,-1.2962987422943115,8157.378077549258,0.000370747729903,0.0004151932953391,0.0001118154177675,0.0012145042419433,3.713202558545488,15022.91015625,0.53
1.0,4.002999782562256,-0.0015461352886632,2.9467722484355363e-08,0.914539873600006,8.811290172161534e-05,-1.25076162815094,10379.182341417052,0.0004087322158738,0.0003501252213027,8.752619032748044e-05,-2.920904397964477,4.00023375852113,11516.697265625,0.53
1.0,4.259999752044678,-0.0011338343610987,-1.7724822498621506e-07,0.915390968322754,6.976492295507342e-05,-1.1939934492111206,13121.077606754316,0.0003854216483887,0.0002555697865318,6.958406447665766e-05,-2.951472282409668,3.67282061566816,8801.966796875,0.53
1.0,4.586999893188477,-0.0013093190500512,-7.132008050803051e-08,0.9167426228523254,5.5750020692357793e-05,-1.1204620599746704,16443.8077594829,0.0003708315780386,0.0001983265538001,5.539635822060518e-05,-2.750353574752808,3.5801370373544508,6740.5849609375,0.53
1.0,5.008999824523926,-0.0013789512449875,1.3915905583417046e-07,0.9189387559890748,4.546735726762563e-05,-1.0299891233444214,20210.95597397722,0.000404958933359,0.0001603620185051,4.530528167379089e-05,-2.6954779624938965,3.539587716499747,5159.66845703125,0.53
1.0,5.432000160217285,-0.001523413346149,1.6773480382425987e-08,0.9226707816123962,3.795180600718595e-05,-0.919990062713623,24311.64359971944,0.0004224838048685,0.0001233466173289,3.783803549595177e-05,-2.555816888809204,3.259857857634576,3951.206787109375,0.53
1.0,5.855000019073486,-0.0015603887150064,-1.297056773097438e-08,0.9284668564796448,3.260448283981532e-05,-0.8124136328697205,28476.66258168148,0.0004085645196028,9.717851207824424e-05,3.243305400246754e-05,-2.38770604133606,2.99628003181109,3022.096923828125,0.53
1.0,6.277999877929688,-0.0014987209578976,3.42352102222776e-08,0.936235010623932,2.8870348614873365e-05,-0.688249945640564,32428.94719122319,0.0004090676375199,7.567200373159721e-05,2.8517319151433185e-05,-1.9936206340789795,2.65354549387207,2312.779296875,0.53
